name,price,status,shipping,freereturns,itemssold
"MacBook Pro, Mid 2017, 13"" Screen, 2.5ghz, i7, 16GB RAM, 128GB SSD- Space Gray",55000,Pre-Owned,0,True,0
EXCELLENT MacBook Pro 15 Laptop | QUAD CORE i7 | 16GB RAM | MacOS-2015 | 1TB SSD,62500,Refurbished,0,True,0
"Apple MacBook Pro 13"" Pre-Retina Laptop / 500 GB / MacOS / WARRANTY!",34900,Pre-Owned,0,True,30
A1465 MacBook Air 2015 2.2GHz i7 5650U 8GB RAM 128GB SSD BTO/CTO MacOS 10.15,25998,Refurbished,0,True,0
APPLE MACBOOK AIR 13 INCH LAPTOP - TURBO BOOST - 3 YEAR WARRANTY - 128GB SSD,28900,Pre-Owned,0,True,88
Apple MacBook A1181 Mid-2009 Intel 2.13GHz 4GB RAM 160GB HDD OSX 10.11 - ZZ,6626,Pre-Owned,0,False,0
"13"" Apple MacBook Air i5 2.7ghz TURBO BOOST 128GB SSD OSx-2017 - 3 YEAR WARRANTY",29900,Pre-Owned,0,True,57
"New ListingApple MacBook Pro 13"" (a1708) 2017 8GB memory i5 256GB SSD space gray",60000,Pre-Owned,1540,False,0
"Apple 13"" MacBook Air | 2.0GHz i7 8GB RAM 256GB SSD Certified Refurbished A1466",42999,Certified - Refurbished,0,True,97
Apple MacBook Pro 15 Retina 16GB RAM 1TB SSD OS2020 3.2GHz Quad Core i7 Turbo,69700,Refurbished,0,True,0
"Apple MacBook Air 13"" TURBO BOOST 2.6ghz i5 256GB SSD OS-2020 - 3 YEAR WARRANTY",41900,Pre-Owned,0,True,20
"15"" Apple MacBook Pro 500GB 4GB RAM Pre-Retina OSx-2015 3 YEAR WARRANTY",36400,Pre-Owned,0,True,0
Apple MacBook Pro 15 Retina 2015-2017Touch 3.4GHz Quad i7 Turbo 16GB RAM 1TB SSD,78200,Refurbished,0,True,0
"Apple MacBook Air 13in (256GB SSD, M1, 8GB) Laptop - Space Gray - MGN63LL/A...",79995,Pre-Owned,0,False,0
